candidate_name,source,contact_method,current_role,crp_status,digital_health_exp,contact_date,response_status,intro_call_date,deep_dive_date,technical_case_date,references_status,loi_status,notes
[Tier1-Ex-Conexa-Psi-A],LinkedIn ex-Conexa Saúde (search "Psicóloga Conexa" + "clinical lead" SP),LinkedIn DM + email warm-intro,Clinical Lead at digital health BR,CRP-06 active,3+ yrs Conexa 2021-2024,TBD,Not contacted,,,,,Pending,Filter PhD + RCT exposure. Cíngulo alumni next priority if no fit.
[Tier1-Ex-Zenklub-Psi-A],LinkedIn ex-Zenklub (search alumni clinical research 2020-2024),LinkedIn DM,Coordenadora Clínica Zenklub,CRP-06 / CRP-05 active,2-4 yrs Zenklub,TBD,Not contacted,,,,,Pending,High signal — Zenklub-Omint deal experience = NR-1 thinking
[Tier1-Ex-Vittude-Psi-A],LinkedIn ex-Vittude (search "Vittude" + "psicologia" + "head of"),LinkedIn DM,Head of Clinical Vittude (until 2024 ou 2025),CRP unknown,4-5 yrs Vittude scaling,TBD,Not contacted,,,,,Pending,Vittude had quality issues 2023-2024 — alumni may have hard-won lessons
[Tier1-Ex-Cingulo-Psi-A],LinkedIn ex-Cíngulo + CFP listings,LinkedIn DM + CFP direct,Founder clinical Cíngulo deprecated role,CRP-06 active,3-4 yrs Cíngulo,TBD,Not contacted,,,,,Pending,Cíngulo "competitor" sensitive — frame as "voce viu o que falha em scale BR"
[Tier1-Ex-Psicologia-Viva-A],LinkedIn ex-Psicologia Viva (smaller team, harder to find),LinkedIn DM + warm intro CFP,Clinical Director,CRP unknown,2-3 yrs Psicologia Viva,TBD,Not contacted,,,,,Pending,Smaller player — may want bigger stage at Anipis
[Tier2-CISM-USP-Researcher-A],CISM/USP IPq website + Lattes search,Email institucional + LinkedIn,Pesquisador(a) PhD Psi Clínica USP IPq,CRP-06 active,1-2 yrs Mem0/Wysa Reading group,TBD,Not contacted,,,,,Pending,Bridge academic <> startup. RCT principal investigator expertise mandatório.
[Tier2-UFRJ-IPUB-Researcher-A],UFRJ IPUB (Instituto de Psiquiatria) researchers,Email institucional + Lattes,Pesquisador PhD UFRJ IPUB,CRP-05 active,Limited digital health,TBD,Not contacted,,,,,Pending,RJ-based. Academic credentials strong but digital health gap.
[Tier2-UNIFESP-PhD-Candidate-A],UNIFESP Psicobiologia or Psicologia Clínica PhD candidates 2024-2026 thesis,Email institucional + Lattes,PhD Candidate UNIFESP finishing thesis,CRP active,Possible Conexa/Zenklub internship,TBD,Not contacted,,,,,Pending,Lower seniority but founder hunger high. Cash defer 6m more palatable.
[Tier2-UFMG-Saude-Coletiva-A],UFMG Saúde Coletiva + Mestrado Psi Clínica,Email institucional + LinkedIn,Mestre Psi Clínica UFMG,CRP-04 active,Some telehealth UBS BH,TBD,Not contacted,,,,,Pending,MG-based — Indaiatuba RCT modelo applies geographically.
[Tier3-CFP-SP-Active-A],CFP-SP active member list (publicly searchable) + LinkedIn cross-ref,LinkedIn DM,Psicóloga privada + research interest,CRP-06 active,Possibly Hapvida or Notre Dame telehealth contract,TBD,Not contacted,,,,,Pending,Broad search — filter by digital health LinkedIn signal first.
[Tier3-CFP-RJ-Active-A],CFP-RJ active member list,LinkedIn DM,Psicóloga + supervisor digital health,CRP-05 active,Telavita 2022-2024 ou similar,TBD,Not contacted,,,,,Pending,Less common path — RJ digital health smaller scene than SP.
[Tier3-CFP-MG-Active-A],CFP-MG active member list,LinkedIn DM,Psicóloga privada Belo Horizonte,CRP-04 active,Limited,TBD,Not contacted,,,,,Pending,Geographic diversity. Watch CRP regional fit for SP/RJ contracts.
[Tier4-UNIFESP-PhD-Finishing-A],UNIFESP Psi Clínica/Psicobiologia thesis defense 2026 schedule,Email orientador + LinkedIn,PhD Candidate thesis defense Q3/2026,CRP active,Limited but high research signal,TBD,Not contacted,,,,,Pending,Risk: finishing thesis may delay full-time start by 3-4 months. Negotiable.
[Tier4-USP-IPq-PhD-Finishing-A],USP IPq PhD candidates 2025-2026 thesis,Email orientador (cc Prof. Wagner Gattaz ou similar lab heads),PhD Candidate USP IPq,CRP-06 active,RCT methodology training strong,TBD,Not contacted,,,,,Pending,Highest research signal Tier 4. May need supervisor blessing for industry move.
[Tier4-PUC-RJ-PhD-Finishing-A],PUC-RJ Psicologia Clínica PhD candidates Lacaniana school,Email orientador (cc Christian Dunker affiliated),Email institucional,PhD Candidate Lacaniana school,CRP-05 active,Limited digital,TBD,Not contacted,,,,,Pending,Voice DNA Dunker fit very high — but digital health learning curve real.
